split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Route,121,200,0.21,0.32405472766608,0.11405472766608002,0.023809523809523808
test,30,Route,88,201,0.19900497512437812,0.16272393717379563,-0.03628103795058249,0.325
test,30,Route,102,1004,0.1892430278884462,0.1276910351960367,-0.06155199269240952,0.7315789473684211
test,30,Route,80,189,0.18518518518518517,0.43843711427752935,0.2532519290923442,0.02857142857142857
test,30,Route,91,278,0.18345323741007194,0.1964623738857482,0.013009136475676253,0.058823529411764705
test,30,Route,17,281,0.17793594306049823,0.13760317249548387,-0.04033277056501436,0.44
test,30,Route,51,243,0.17695473251028807,0.3059063578185476,0.12895162530825952,0.023255813953488372
test,30,Route,12,433,0.17551963048498845,0.11104565559010993,-0.06447397489487852,0.7763157894736842
test,30,Route,507,452,0.17256637168141592,0.19493874044165807,0.02237236876024215,0.3333333333333333
test,30,Route,104,151,0.17218543046357615,0.10700447837026501,-0.06518095209331114,0.6153846153846154
test,30,Route,40,457,0.16849015317286653,0.11267291505452186,-0.05581723811834467,0.6623376623376623
test,30,Route,129,487,0.16632443531827515,0.07007311543189673,-0.09625131988637842,0.7160493827160493
test,30,Route,160,203,0.15763546798029557,0.26218426277117773,0.10454879479088217,0.03125
test,30,Route,503,949,0.15384615384615385,0.19840052306212413,0.04455436921597028,0.3150684931506849
test,30,Route,50,111,0.15315315315315314,0.17095165838999254,0.0177985052368394,0.11764705882352941
test,30,Route,8,145,0.13793103448275862,0.5860626780781253,0.44813164359536667,0.0
test,30,Route,21,247,0.13765182186234817,0.11987448175652667,-0.017777340105821507,0.5294117647058824
test,30,Route,506,1473,0.13374066530889342,0.136214734746955,0.0024740694380615824,0.5025380710659898
test,30,Route,511,553,0.13200723327305605,0.1120862114006589,-0.01992102187239715,0.5342465753424658
test,30,Route,84,602,0.12956810631229235,0.10055845999545676,-0.029009646316835586,0.5
test,30,Route,108,366,0.1284153005464481,0.12430882749855107,-0.004106473047897019,0.3191489361702128
test,30,Route,300,458,0.12445414847161572,0.20791139017880028,0.08345724170718456,0.19298245614035087
test,30,Route,504,2203,0.12074443940081707,0.1296720626089498,0.008927623208132743,0.4699248120300752
test,30,Route,505,1829,0.1180973209404046,0.12826206446971547,0.010164743529310877,0.5092592592592593
test,30,Route,67,164,0.11585365853658537,0.13585367974989884,0.02000002121331347,0.21052631578947367
test,30,Route,37,555,0.11351351351351352,0.13223861253375668,0.018725099020243163,0.20634920634920634
test,30,Route,20,198,0.1111111111111111,0.13591188075011498,0.024800769639003878,0.09090909090909091
test,30,Route,56,162,0.1111111111111111,0.21386478107744528,0.10275366996633417,0.1111111111111111
test,30,Route,134,241,0.1078838174273859,0.13716177509796199,0.029277957670576088,0.07692307692307693
test,30,Route,501,2807,0.10758817242607767,0.12432400429854248,0.016735831872464815,0.4735099337748344
test,30,Route,31,164,0.10365853658536585,0.15704499808049233,0.05338646149512648,0.0
test,30,Route,73,343,0.10204081632653061,0.17754338821803514,0.07550257189150453,0.2
test,30,Route,42,280,0.09642857142857143,0.125412118238663,0.028983546810091562,0.14814814814814814
test,30,Route,111,201,0.0945273631840796,0.10933979784847414,0.014812434664394539,0.10526315789473684
test,30,Route,66,149,0.09395973154362416,0.14586074895931767,0.0519010174156935,0.14285714285714285
test,30,Route,11,353,0.09348441926345609,0.13103222467332398,0.03754780540986789,0.36363636363636365
test,30,Route,69,131,0.0916030534351145,0.07172312730219466,-0.019879926132919848,0.3333333333333333
test,30,Route,941,192,0.08854166666666667,0.06791606798530357,-0.0206255986813631,0.4117647058823529
test,30,Route,65,272,0.08455882352941177,0.10468973622653929,0.020130912697127523,0.08695652173913043
test,30,Route,46,204,0.08333333333333333,0.12410885726978234,0.04077552393644901,0.17647058823529413
test,30,Route,9,202,0.07920792079207921,0.16298985150227746,0.08378193071019825,0.25
test,30,Route,112,293,0.07849829351535836,0.13378942816966422,0.05529113465430585,0.2608695652173913
test,30,Route,54,933,0.0782422293676313,0.06076212616144232,-0.01748010320618898,0.5342465753424658
test,30,Route,57,205,0.07804878048780488,0.11642794888920897,0.038379168401404096,0.0
test,30,Route,71,259,0.07722007722007722,0.09779965855778121,0.02057958133770399,0.1
test,30,Route,64,347,0.07492795389048991,0.07763268447129497,0.0027047305808050592,0.2692307692307692
test,30,Route,114,205,0.07317073170731707,0.17086993270871662,0.09769920100139955,0.0
test,30,Route,509,581,0.07228915662650602,0.09329670176459809,0.021007545138092068,0.6190476190476191
